dataTimeUpload,latitude,longitude,cidades,Casa_Placido,latitude_Casa_Placido,longitude_Casa_Placido
2023-10-06 08:09:00,"-1,1933054","-47,1828679",Capanema - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,3595306","-48,3361504",Marituba - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,2927031","-47,9223903",Castanhal - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,3595306","-48,3361504",Marituba - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,3595306","-48,3361504",Marituba - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,374035","-48,4016623",Ananindeua - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-0,6259282","-47,3442819",Salinópolis - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-0,6259282","-47,3442819",Salinópolis - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,0574255","-46,7635232",Bragança - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,2927031","-47,9223903",Castanhal - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,1933054","-47,1828679",Capanema - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,0574255","-46,7635232",Bragança - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,2927031","-47,9223903",Castanhal - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,2927031","-47,9223903",Castanhal - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,2927031","-47,9223903",Castanhal - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,45056","-48,4682453",Belém - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,961388","-48,1987043",Acará - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,128244","-47,6199021",Igarapé-Açu - PA,Casa de Plácido,"-1,452268","-48,4813879"
2023-10-06 11:32:00,"-1,0765338","-46,9030822",Tracuateua - PA,Casa de Plácido,"-1,452268","-48,4813879"
